Player,Age,Matches,Goals,Own_Goals,Assists,Yellow_Cards,Second_Yellow,Red_Card,Subs_On,Subs_Of,Price,Transfer
Leo Messi,30,28,22,0,10,3,0,0,2,1,18000,0
Neymar,25,24,21,0,14,6,1,0,0,1,15000,0
Harry Kane,24,28,28,0,3,4,0,0,1,12,12000,0
Leroy Sane,22,30,9,0,12,5,0,0,7,11,7500,0
Cenk Tosun,26,16,8,1,0,2,0,0,3,2,2300,1
Ross Barkley,24,12,2,0,2,2,0,0,3,2,2500,1
Harry Kane,24,28,28,0,3,4,0,0,1,12,12000,0
Cristiano Ronaldo,32,24,16,0,3,2,1,0,2,1,12000,0
De Bruyne,26,32,8,0,12,4,0,0,2,12,11000,0
Antoine Grizmann,26,25,9,0,7,4,1,0,2,8,10000,0
Eden Hazard,27,30,10,0,8,1,0,0,6,16,10000,0
Kylian Mbappe,19,27,14,0,15,3,0,0,2,9,9000,0
Paul Pogba,24,18,3,0,8,2,0,1,0,3,9000,0
Philippe Coutinho,25,21,12,0,9,0,0,0,2,11,9000,1
Paulo Dybala,24,30,17,0,4,0,0,0,6,8,8500,0
Virgil Van Dijk,26,17,2,0,0,0,0,0,1,0,5000,1
Diego Costa,29,3,2,0,1,0,1,1,0,1,5000,1
Adrien Silva,28,3,1,0,2,2,0,0,2,1,2500,1
Gareth Bale,28,16,7,0,5,2,0,0,5,9,7500,0
Sergio Aguero,29,27,21,0,4,1,0,0,4,13,7500,0
Gabriel Jesus,20,29,11,0,4,3,0,0,8,15,7000,0
Saul Niguez,23,29,3,0,2,6,0,0,4,2,7000,0
Koke,26,21,2,0,2,3,0,0,0,3,7000,0
Eriksen,25,30,10,0,8,0,0,0,1,9,7000,0
Alexis Sanchez,29,22,8,0,4,4,0,0,3,6,7000,1
Higuain,30,28,12,0,3,3,0,0,4,3,7000,0
Anthony Martial,22,32,9,0,9,1,0,0,13,15,6500,0
Lacazette,26,27,10,0,4,1,0,0,4,18,5500,0
Naby Keita,22,22,7,0,1,6,1,1,1,5,5000,1
Marco Asensio,21,30,7,0,4,1,0,0,15,5,5000,0
Marcus Rashford,20,35,9,0,8,4,0,0,15,14,5000,0
Aubameyang,28,23,21,0,3,0,1,0,0,1,6500,1
N'Golo Kante,26,26,1,0,0,3,0,0,0,6,6000,0
Sadio Mane,25,21,8,0,6,2,0,1,1,13,6000,0
Timo Werner,21,26,14,0,4,1,0,0,4,10,6000,0
Insigne,26,29,10,0,7,3,0,0,4,11,6000,0
Verratti,25,25,2,0,4,7,1,0,1,12,6000,0
Fransis Coquelin,28,7,0,0,0,1,0,0,0,3,1200,1
Saul Niguez,23,29,3,0,2,6,0,0,4,2,7000,0
Koke,26,21,2,0,2,3,0,0,0,3,7000,0
Eriksen,25,30,10,0,8,0,0,0,1,9,7000,0
Alexis Sanchez,29,22,8,0,4,4,0,0,3,6,7000,0
Higuain,30,28,12,0,3,3,0,0,4,3,7000,0
Anthony Martial,22,32,9,0,9,1,0,0,13,15,6500,0
Aubameyang,28,23,21,0,3,0,1,0,0,1,6500,0
Cristiano Ronaldo,32,24,16,0,3,2,1,0,2,1,12000,0
Timo Werner,21,26,14,0,4,1,0,0,4,10,6000,0
Insigne,26,29,10,0,7,3,0,0,4,11,6000,0
Cenk Tosun,26,16,8,1,0,2,0,0,3,2,2300,1
Ross Barkley,24,12,2,0,2,2,0,0,3,2,2500,1
Juan Mata,29,24,3,0,4,0,0,0,2,17,3000,0
Julian Brandit,21,22,5,0,5,0,0,0,6,10,3000,0
Lucas,25,6,1,0,1,1,0,0,6,0,3800,1
Philippe Coutinho,25,21,12,0,9,0,0,0,2,11,9000,1
Yerry Mina,23,15,2,1,4,0,0,0,2,0,900,1
Mesut Ozil,29,18,4,0,3,0,0,0,2,1,5000,1
Di Maria,29,23,7,0,8,0,0,0,7,9,4000,0
Mikhitaryan,29,24,4,0,8,2,0,0,6,16,3500,1
Macherano,33,12,0,0,0,0,0,0,2,1,600,1
Bakambu,26,21,14,0,0,6,0,0,3,8,2500,1
Walcott,28,17,4,0,6,1,0,0,7,3,2000,1
Akinji,22,28,2,2,4,0,0,0,2,3,500,1
Pjaca,22,6,3,0,3,0,0,0,1,3,1500,1
Rafinha,24,1,0,0,0,0,0,0,1,0,1500,1
Wagner,30,19,6,4,0,0,0,0,2,3,900,1
Turan,30,1,1,0,0,0,0,0,0,0,1200,1
Lucas Lima,27,0,0,0,0,0,0,0,0,0,1200,1
Carsol Vela,28,17,1,1,0,0,0,0,2,3,1100,1
Vietto,24,15,3,0,0,0,0,0,3,2,1000,1
Mirallas,30,16,0,2,0,0,0,1,3,1,1000,1
Leon Goretzka,22,13,4,0,1,1,0,1,4,1,4000,1
Kongolo,23,8,0,0,0,0,0,1,6,1,1000,1
Koziello,22,23,0,0,0,0,1,1,5,2,1100,1
Arana,20,0,0,0,0,0,0,0,0,0,1000,1
Van Persie,34,8,0,0,0,0,0,0,5,1,400,1
Aymeric Laporte,23,31,1,1,3,6,0,0,0,0,2500,1
Inigo Martinez,26,16,1,0,1,1,0,0,0,1,2500,1
Lucas,25,6,1,0,1,1,0,0,6,0,2800,1
Jao Mario,25,19,1,0,5,0,0,0,11,4,2600,1
Ayew,25,25,6,0,3,2,0,0,9,7,1800,1
Islam Silmani,29,19,6,0,3,1,0,0,10,3,2200,1
Sturridge,29,15,3,0,3,0,0,0,10,4,2000,1
Olivier Giroud ,31,27,8,0,0,0,0,0,16,2,2000,1
Emerson,23,3,0,0,0,0,0,0,1,1,1400,1
Deulofeu,23,18,2,0,3,1,0,0,7,10,1400,1
Marc Bartra,27,21,4,0,2,2,0,0,4,3,1500,1
Ahmed Musa,25,9,2,0,4,1,0,0,2,2,1500,1
Mangala,26,15,0,0,0,1,0,0,5,1,1500,1
Pique,31,31,2,1,0,9,1,0,0,5,4000,1
Sergi Roberto,25,29,1,0,7,4,0,8,4,0,4000,1
Marquinos,23,29,2,0,3,2,0,0,1,1,4000,0
Lemar ,23,23,3,0,5,1,0,0,3,7,6500,0
Timo Werner,21,28,15,0,4,1,0,0,4,10,6000,0
Alexandre Lacazette,26,30,11,0,4,1,0,0,4,19,5500,0
Gabriel Jesus,20,29,11,0,4,3,0,0,8,15,7000,0
Koke,26,25,2,0,2,3,0,0,1,5,7000,0
Andrea Belotti,24,21,7,0,3,0,0,0,2,1,4000,0
Christian Pulisic,19,26,4,0,2,1,0,0,3,8,4500,0
Nabil Fekir,24,28,19,0,5,7,0,0,1,4,4500,0
Ciro Immobil,27,30,26,0,10,4,0,1,4,3,3500,0
